program_label,program,geoid,category,stusab,state,state_name,county,county_name,tract,pct_occupied,pct_minority,total_units,number_reported,pct_reported,pct_2adults,pct_1adult,pct_disabled_all,pct_age62plus,pct_white,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,pct_bed1,pct_bed2,pct_bed3,pct_hhwch,name,states
Public Housing,2,17001000400,census tract,IL,17,Illinois,001,Adams County,000400,,,5.0,5,,,,,,,,,,,,,,,IL Illinois Adams County 000400,IL Illinois
Housing Choice Vouchers,3,17001000400,census tract,IL,17,Illinois,001,Adams County,000400,65.0,68.0,45.0,37,100.0,3.0,38.0,22.0,8.0,32.0,65.0,3.0,,0.0,38.0,35.0,27.0,41.0,IL Illinois Adams County 000400,IL Illinois
Other Multifamily,5,17001000400,census tract,IL,17,Illinois,001,Adams County,000400,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Adams County 000400,IL Illinois
Summary,1,17001000500,census tract,IL,17,Illinois,001,Adams County,000500,65.0,48.0,75.0,62,100.0,,56.0,10.0,8.0,52.0,45.0,,,3.0,35.0,39.0,26.0,56.0,IL Illinois Adams County 000500,IL Illinois
Housing Choice Vouchers,3,17001000500,census tract,IL,17,Illinois,001,Adams County,000500,65.0,48.0,75.0,62,100.0,,56.0,10.0,8.0,52.0,45.0,,,3.0,35.0,39.0,26.0,56.0,IL Illinois Adams County 000500,IL Illinois
Summary,1,17001000600,census tract,IL,17,Illinois,001,Adams County,000600,67.0,45.0,13.0,11,100.0,,18.0,53.0,36.0,55.0,36.0,9.0,,0.0,45.0,55.0,,18.0,IL Illinois Adams County 000600,IL Illinois
Housing Choice Vouchers,3,17001000600,census tract,IL,17,Illinois,001,Adams County,000600,,,12.0,10,,,,,,,,,,,,,,,IL Illinois Adams County 000600,IL Illinois
Project Based Section 8,4,17001000600,census tract,IL,17,Illinois,001,Adams County,000600,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Adams County 000600,IL Illinois
Summary,1,17001000700,census tract,IL,17,Illinois,001,Adams County,000700,93.0,15.0,192.0,177,99.0,1.0,4.0,32.0,59.0,85.0,13.0,,1.0,1.0,93.0,3.0,4.0,5.0,IL Illinois Adams County 000700,IL Illinois
Public Housing,2,17001000700,census tract,IL,17,Illinois,001,Adams County,000700,99.0,17.0,104.0,103,100.0,,,49.0,50.0,83.0,17.0,,,1.0,100.0,,,,IL Illinois Adams County 000700,IL Illinois
Housing Choice Vouchers,3,17001000700,census tract,IL,17,Illinois,001,Adams County,000700,,,4.0,3,,,,,,,,,,,,,,,IL Illinois Adams County 000700,IL Illinois
Project Based Section 8,4,17001000700,census tract,IL,17,Illinois,001,Adams County,000700,85.0,8.0,85.0,71,98.0,1.0,10.0,13.0,75.0,92.0,6.0,,1.0,1.0,82.0,8.0,10.0,11.0,IL Illinois Adams County 000700,IL Illinois
Summary,1,17001000800,census tract,IL,17,Illinois,001,Adams County,000800,93.0,34.0,234.0,223,100.0,1.0,46.0,14.0,13.0,66.0,31.0,0.0,,2.0,34.0,41.0,26.0,47.0,IL Illinois Adams County 000800,IL Illinois
Public Housing,2,17001000800,census tract,IL,17,Illinois,001,Adams County,000800,98.0,30.0,200.0,195,100.0,1.0,43.0,14.0,13.0,70.0,28.0,1.0,,1.0,36.0,42.0,23.0,44.0,IL Illinois Adams County 000800,IL Illinois
Housing Choice Vouchers,3,17001000800,census tract,IL,17,Illinois,001,Adams County,000800,65.0,61.0,34.0,28,100.0,4.0,71.0,11.0,11.0,39.0,54.0,,,7.0,18.0,36.0,46.0,75.0,IL Illinois Adams County 000800,IL Illinois
Summary,1,17001000900,census tract,IL,17,Illinois,001,Adams County,000900,,,11.0,9,,,,,,,,,,,,,,,IL Illinois Adams County 000900,IL Illinois
Housing Choice Vouchers,3,17001000900,census tract,IL,17,Illinois,001,Adams County,000900,,,11.0,9,,,,,,,,,,,,,,,IL Illinois Adams County 000900,IL Illinois
Summary,1,17001001001,census tract,IL,17,Illinois,001,Adams County,001001,,,5.0,4,,,,,,,,,,,,,,,IL Illinois Adams County 001001,IL Illinois
Housing Choice Vouchers,3,17001001001,census tract,IL,17,Illinois,001,Adams County,001001,,,5.0,4,,,,,,,,,,,,,,,IL Illinois Adams County 001001,IL Illinois
Summary,1,17001001002,census tract,IL,17,Illinois,001,Adams County,001002,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Adams County 001002,IL Illinois
Housing Choice Vouchers,3,17001001002,census tract,IL,17,Illinois,001,Adams County,001002,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Adams County 001002,IL Illinois
Summary,1,17001001100,census tract,IL,17,Illinois,001,Adams County,001100,80.0,21.0,300.0,262,100.0,1.0,27.0,32.0,37.0,79.0,21.0,,,1.0,59.0,33.0,8.0,28.0,IL Illinois Adams County 001100,IL Illinois
Housing Choice Vouchers,3,17001001100,census tract,IL,17,Illinois,001,Adams County,001100,65.0,44.0,126.0,104,100.0,1.0,55.0,18.0,17.0,56.0,44.0,,,0.0,16.0,65.0,18.0,56.0,IL Illinois Adams County 001100,IL Illinois
Project Based Section 8,4,17001001100,census tract,IL,17,Illinois,001,Adams County,001100,89.0,5.0,128.0,114,100.0,2.0,12.0,54.0,38.0,95.0,5.0,,,0.0,82.0,17.0,1.0,14.0,IL Illinois Adams County 001100,IL Illinois
Other Multifamily,5,17001001100,census tract,IL,17,Illinois,001,Adams County,001100,94.0,9.0,46.0,44,100.0,,,23.0,80.0,91.0,5.0,,,5.0,100.0,,,,IL Illinois Adams County 001100,IL Illinois
Summary,1,17001010100,census tract,IL,17,Illinois,001,Adams County,010100,91.0,0.0,15.0,14,100.0,,14.0,29.0,79.0,100.0,,,,0.0,86.0,14.0,,14.0,IL Illinois Adams County 010100,IL Illinois
Public Housing,2,17001010100,census tract,IL,17,Illinois,001,Adams County,010100,91.0,0.0,15.0,14,100.0,,14.0,29.0,79.0,100.0,,,,0.0,86.0,14.0,,14.0,IL Illinois Adams County 010100,IL Illinois
Summary,1,17001010200,census tract,IL,17,Illinois,001,Adams County,010200,89.0,3.0,81.0,74,100.0,,18.0,13.0,38.0,97.0,,,,3.0,73.0,16.0,11.0,18.0,IL Illinois Adams County 010200,IL Illinois
Public Housing,2,17001010200,census tract,IL,17,Illinois,001,Adams County,010200,91.0,1.0,73.0,67,100.0,,15.0,14.0,37.0,99.0,,,,1.0,78.0,13.0,9.0,15.0,IL Illinois Adams County 010200,IL Illinois
Project Based Section 8,4,17001010200,census tract,IL,17,Illinois,001,Adams County,010200,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Adams County 010200,IL Illinois
Summary,1,17001010301,census tract,IL,17,Illinois,001,Adams County,010301,91.0,8.0,14.0,13,100.0,,15.0,17.0,54.0,92.0,8.0,,,0.0,92.0,8.0,,15.0,IL Illinois Adams County 010301,IL Illinois
Public Housing,2,17001010301,census tract,IL,17,Illinois,001,Adams County,010301,91.0,8.0,14.0,13,100.0,,15.0,17.0,54.0,92.0,8.0,,,0.0,92.0,8.0,,15.0,IL Illinois Adams County 010301,IL Illinois
Summary,1,17001010302,census tract,IL,17,Illinois,001,Adams County,010302,91.0,5.0,23.0,21,100.0,,14.0,15.0,52.0,95.0,,,,5.0,95.0,5.0,,14.0,IL Illinois Adams County 010302,IL Illinois
Public Housing,2,17001010302,census tract,IL,17,Illinois,001,Adams County,010302,91.0,5.0,23.0,21,100.0,,14.0,15.0,52.0,95.0,,,,5.0,95.0,5.0,,14.0,IL Illinois Adams County 010302,IL Illinois
Summary,1,17001010500,census tract,IL,17,Illinois,001,Adams County,010500,65.0,64.0,13.0,11,100.0,,9.0,62.0,55.0,36.0,64.0,,,0.0,82.0,18.0,,9.0,IL Illinois Adams County 010500,IL Illinois
Housing Choice Vouchers,3,17001010500,census tract,IL,17,Illinois,001,Adams County,010500,65.0,64.0,13.0,11,100.0,,9.0,62.0,55.0,36.0,64.0,,,0.0,82.0,18.0,,9.0,IL Illinois Adams County 010500,IL Illinois
Summary,1,17001010600,census tract,IL,17,Illinois,001,Adams County,010600,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Adams County 010600,IL Illinois
Other Multifamily,5,17001010600,census tract,IL,17,Illinois,001,Adams County,010600,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Adams County 010600,IL Illinois
Summary,1,17003957600,census tract,IL,17,Illinois,003,Alexander County,957600,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Alexander County 957600,IL Illinois
Housing Choice Vouchers,3,17003957600,census tract,IL,17,Illinois,003,Alexander County,957600,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Alexander County 957600,IL Illinois
Summary,1,17003957700,census tract,IL,17,Illinois,003,Alexander County,957700,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Alexander County 957700,IL Illinois
Housing Choice Vouchers,3,17003957700,census tract,IL,17,Illinois,003,Alexander County,957700,,,2.0,1,,,,,,,,,,,,,,,IL Illinois Alexander County 957700,IL Illinois
Summary,1,17003957800,census tract,IL,17,Illinois,003,Alexander County,957800,81.0,92.0,46.0,37,100.0,3.0,38.0,14.0,30.0,8.0,92.0,,,0.0,38.0,16.0,46.0,41.0,IL Illinois Alexander County 957800,IL Illinois
Public Housing,2,17003957800,census tract,IL,17,Illinois,003,Alexander County,957800,91.0,80.0,17.0,15,100.0,,,31.0,53.0,20.0,80.0,,,0.0,87.0,13.0,,,IL Illinois Alexander County 957800,IL Illinois
Housing Choice Vouchers,3,17003957800,census tract,IL,17,Illinois,003,Alexander County,957800,,,17.0,10,,,,,,,,,,,,,,,IL Illinois Alexander County 957800,IL Illinois
Project Based Section 8,4,17003957800,census tract,IL,17,Illinois,003,Alexander County,957800,98.0,100.0,12.0,12,100.0,,83.0,6.0,,0.0,100.0,,,0.0,,,100.0,83.0,IL Illinois Alexander County 957800,IL Illinois
Summary,1,17003957900,census tract,IL,17,Illinois,003,Alexander County,957900,56.0,89.0,157.0,88,100.0,1.0,25.0,24.0,34.0,11.0,89.0,,,0.0,63.0,8.0,30.0,26.0,IL Illinois Alexander County 957900,IL Illinois
Public Housing,2,17003957900,census tract,IL,17,Illinois,003,Alexander County,957900,,,113.0,52,,,,,,,,,,,,,,,IL Illinois Alexander County 957900,IL Illinois
Housing Choice Vouchers,3,17003957900,census tract,IL,17,Illinois,003,Alexander County,957900,61.0,83.0,20.0,12,99.0,,17.0,38.0,25.0,17.0,83.0,,,0.0,33.0,58.0,8.0,17.0,IL Illinois Alexander County 957900,IL Illinois
Project Based Section 8,4,17003957900,census tract,IL,17,Illinois,003,Alexander County,957900,98.0,96.0,25.0,24,99.0,4.0,71.0,8.0,8.0,4.0,96.0,,,0.0,4.0,,96.0,75.0,IL Illinois Alexander County 957900,IL Illinois
Summary,1,17005951200,census tract,IL,17,Illinois,005,Bond County,951200,63.0,29.0,27.0,17,100.0,,65.0,30.0,41.0,71.0,24.0,,,6.0,,53.0,47.0,65.0,IL Illinois Bond County 951200,IL Illinois
Housing Choice Vouchers,3,17005951200,census tract,IL,17,Illinois,005,Bond County,951200,63.0,29.0,27.0,17,100.0,,65.0,30.0,41.0,71.0,24.0,,,6.0,,53.0,47.0,65.0,IL Illinois Bond County 951200,IL Illinois
Summary,1,17005951300,census tract,IL,17,Illinois,005,Bond County,951300,87.0,21.0,150.0,131,100.0,1.0,12.0,36.0,44.0,79.0,20.0,,,1.0,80.0,8.0,12.0,13.0,IL Illinois Bond County 951300,IL Illinois
Public Housing,2,17005951300,census tract,IL,17,Illinois,005,Bond County,951300,87.0,19.0,109.0,95,100.0,1.0,17.0,33.0,35.0,81.0,18.0,,,1.0,75.0,9.0,16.0,18.0,IL Illinois Bond County 951300,IL Illinois
Housing Choice Vouchers,3,17005951300,census tract,IL,17,Illinois,005,Bond County,951300,,,3.0,2,,,,,,,,,,,,,,,IL Illinois Bond County 951300,IL Illinois
Project Based Section 8,4,17005951300,census tract,IL,17,Illinois,005,Bond County,951300,87.0,26.0,38.0,34,100.0,,,47.0,71.0,74.0,26.0,,,0.0,100.0,,,,IL Illinois Bond County 951300,IL Illinois
Summary,1,17005951400,census tract,IL,17,Illinois,005,Bond County,951400,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Bond County 951400,IL Illinois
Public Housing,2,17005951400,census tract,IL,17,Illinois,005,Bond County,951400,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Bond County 951400,IL Illinois
Summary,1,17005951500,census tract,IL,17,Illinois,005,Bond County,951500,87.0,0.0,37.0,32,100.0,3.0,9.0,35.0,59.0,100.0,,,,0.0,78.0,9.0,13.0,12.0,IL Illinois Bond County 951500,IL Illinois
Public Housing,2,17005951500,census tract,IL,17,Illinois,005,Bond County,951500,87.0,0.0,37.0,32,100.0,3.0,9.0,35.0,59.0,100.0,,,,0.0,78.0,9.0,13.0,12.0,IL Illinois Bond County 951500,IL Illinois
Summary,1,17007010101,census tract,IL,17,Illinois,007,Boone County,010101,75.0,26.0,118.0,86,97.0,3.0,58.0,10.0,12.0,74.0,21.0,1.0,,3.0,14.0,80.0,6.0,61.0,IL Illinois Boone County 010101,IL Illinois
Housing Choice Vouchers,3,17007010101,census tract,IL,17,Illinois,007,Boone County,010101,,,42.0,14,,,,,,,,,,,,,,,IL Illinois Boone County 010101,IL Illinois
Project Based Section 8,4,17007010101,census tract,IL,17,Illinois,007,Boone County,010101,91.0,21.0,76.0,72,100.0,4.0,60.0,8.0,13.0,79.0,18.0,,,3.0,10.0,86.0,4.0,64.0,IL Illinois Boone County 010101,IL Illinois
Summary,1,17007010102,census tract,IL,17,Illinois,007,Boone County,010102,,,78.0,26,,,,,,,,,,,,,,,IL Illinois Boone County 010102,IL Illinois
Housing Choice Vouchers,3,17007010102,census tract,IL,17,Illinois,007,Boone County,010102,,,78.0,26,,,,,,,,,,,,,,,IL Illinois Boone County 010102,IL Illinois
Summary,1,17007010200,census tract,IL,17,Illinois,007,Boone County,010200,72.0,20.0,215.0,147,94.0,1.0,8.0,24.0,70.0,80.0,10.0,1.0,,8.0,86.0,7.0,7.0,9.0,IL Illinois Boone County 010200,IL Illinois
Housing Choice Vouchers,3,17007010200,census tract,IL,17,Illinois,007,Boone County,010200,,,96.0,32,,,,,,,,,,,,,,,IL Illinois Boone County 010200,IL Illinois
Project Based Section 8,4,17007010200,census tract,IL,17,Illinois,007,Boone County,010200,94.0,15.0,119.0,115,100.0,,,25.0,79.0,85.0,6.0,2.0,,7.0,100.0,,,,IL Illinois Boone County 010200,IL Illinois
Summary,1,17007010300,census tract,IL,17,Illinois,007,Boone County,010300,84.0,28.0,194.0,162,100.0,1.0,22.0,16.0,67.0,72.0,17.0,,,11.0,68.0,22.0,10.0,23.0,IL Illinois Boone County 010300,IL Illinois
Housing Choice Vouchers,3,17007010300,census tract,IL,17,Illinois,007,Boone County,010300,,,42.0,14,,,,,,,,,,,,,,,IL Illinois Boone County 010300,IL Illinois
Project Based Section 8,4,17007010300,census tract,IL,17,Illinois,007,Boone County,010300,94.0,25.0,152.0,148,100.0,1.0,18.0,16.0,73.0,75.0,14.0,,,11.0,74.0,21.0,5.0,19.0,IL Illinois Boone County 010300,IL Illinois
Summary,1,17007010601,census tract,IL,17,Illinois,007,Boone County,010601,,,6.0,2,,,,,,,,,,,,,,,IL Illinois Boone County 010601,IL Illinois
Housing Choice Vouchers,3,17007010601,census tract,IL,17,Illinois,007,Boone County,010601,,,6.0,2,,,,,,,,,,,,,,,IL Illinois Boone County 010601,IL Illinois
Summary,1,17007010603,census tract,IL,17,Illinois,007,Boone County,010603,,,6.0,2,,,,,,,,,,,,,,,IL Illinois Boone County 010603,IL Illinois
Housing Choice Vouchers,3,17007010603,census tract,IL,17,Illinois,007,Boone County,010603,,,6.0,2,,,,,,,,,,,,,,,IL Illinois Boone County 010603,IL Illinois
Summary,1,17007010604,census tract,IL,17,Illinois,007,Boone County,010604,,,18.0,6,,,,,,,,,,,,,,,IL Illinois Boone County 010604,IL Illinois
Housing Choice Vouchers,3,17007010604,census tract,IL,17,Illinois,007,Boone County,010604,,,18.0,6,,,,,,,,,,,,,,,IL Illinois Boone County 010604,IL Illinois
Summary,1,17009970400,census tract,IL,17,Illinois,009,Brown County,970400,98.0,0.0,12.0,12,98.0,,25.0,26.0,17.0,100.0,,,,0.0,75.0,25.0,,25.0,IL Illinois Brown County 970400,IL Illinois
Public Housing,2,17009970400,census tract,IL,17,Illinois,009,Brown County,970400,98.0,0.0,12.0,12,98.0,,25.0,26.0,17.0,100.0,,,,0.0,75.0,25.0,,25.0,IL Illinois Brown County 970400,IL Illinois
Summary,1,17009970500,census tract,IL,17,Illinois,009,Brown County,970500,94.0,1.0,113.0,105,99.0,3.0,10.0,61.0,23.0,99.0,1.0,,,0.0,87.0,10.0,4.0,13.0,IL Illinois Brown County 970500,IL Illinois
Public Housing,2,17009970500,census tract,IL,17,Illinois,009,Brown County,970500,98.0,2.0,48.0,46,98.0,4.0,15.0,43.0,37.0,98.0,2.0,,,0.0,78.0,17.0,4.0,19.0,IL Illinois Brown County 970500,IL Illinois
Project Based Section 8,4,17009970500,census tract,IL,17,Illinois,009,Brown County,970500,94.0,0.0,23.0,20,92.0,5.0,15.0,52.0,5.0,100.0,,,,0.0,80.0,10.0,10.0,20.0,IL Illinois Brown County 970500,IL Illinois
Other Multifamily,5,17009970500,census tract,IL,17,Illinois,009,Brown County,970500,88.0,0.0,43.0,39,100.0,,,100.0,15.0,100.0,,,,0.0,100.0,,,,IL Illinois Brown County 970500,IL Illinois
Summary,1,17011964700,census tract,IL,17,Illinois,011,Bureau County,964700,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Bureau County 964700,IL Illinois
Housing Choice Vouchers,3,17011964700,census tract,IL,17,Illinois,011,Bureau County,964700,,,2.0,2,,,,,,,,,,,,,,,IL Illinois Bureau County 964700,IL Illinois
Summary,1,17011964800,census tract,IL,17,Illinois,011,Bureau County,964800,,,9.0,8,,,,,,,,,,,,,,,IL Illinois Bureau County 964800,IL Illinois
Housing Choice Vouchers,3,17011964800,census tract,IL,17,Illinois,011,Bureau County,964800,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Bureau County 964800,IL Illinois
Project Based Section 8,4,17011964800,census tract,IL,17,Illinois,011,Bureau County,964800,,,8.0,7,,,,,,,,,,,,,,,IL Illinois Bureau County 964800,IL Illinois
Summary,1,17011964900,census tract,IL,17,Illinois,011,Bureau County,964900,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Bureau County 964900,IL Illinois
Housing Choice Vouchers,3,17011964900,census tract,IL,17,Illinois,011,Bureau County,964900,,,3.0,3,,,,,,,,,,,,,,,IL Illinois Bureau County 964900,IL Illinois
Summary,1,17011965100,census tract,IL,17,Illinois,011,Bureau County,965100,94.0,12.0,51.0,49,100.0,4.0,31.0,19.0,55.0,88.0,2.0,,,10.0,53.0,22.0,24.0,35.0,IL Illinois Bureau County 965100,IL Illinois
Public Housing,2,17011965100,census tract,IL,17,Illinois,011,Bureau County,965100,91.0,14.0,24.0,22,100.0,9.0,68.0,17.0,5.0,86.0,5.0,,,9.0,,45.0,55.0,77.0,IL Illinois Bureau County 965100,IL Illinois
Housing Choice Vouchers,3,17011965100,census tract,IL,17,Illinois,011,Bureau County,965100,96.0,11.0,27.0,27,100.0,,,25.0,96.0,89.0,,,,11.0,96.0,4.0,,,IL Illinois Bureau County 965100,IL Illinois
Summary,1,17011965200,census tract,IL,17,Illinois,011,Bureau County,965200,92.0,11.0,133.0,122,100.0,,7.0,50.0,35.0,89.0,6.0,,,5.0,97.0,2.0,1.0,7.0,IL Illinois Bureau County 965200,IL Illinois
Public Housing,2,17011965200,census tract,IL,17,Illinois,011,Bureau County,965200,91.0,11.0,123.0,112,100.0,,4.0,48.0,37.0,89.0,5.0,,,5.0,100.0,,,4.0,IL Illinois Bureau County 965200,IL Illinois
Housing Choice Vouchers,3,17011965200,census tract,IL,17,Illinois,011,Bureau County,965200,,,4.0,4,,,,,,,,,,,,,,,IL Illinois Bureau County 965200,IL Illinois
Other Multifamily,5,17011965200,census tract,IL,17,Illinois,011,Bureau County,965200,,,7.0,6,,,,,,,,,,,,,,,IL Illinois Bureau County 965200,IL Illinois
Summary,1,17011965300,census tract,IL,17,Illinois,011,Bureau County,965300,,,7.0,7,,,,,,,,,,,,,,,IL Illinois Bureau County 965300,IL Illinois
Housing Choice Vouchers,3,17011965300,census tract,IL,17,Illinois,011,Bureau County,965300,,,7.0,7,,,,,,,,,,,,,,,IL Illinois Bureau County 965300,IL Illinois
Summary,1,17011965400,census tract,IL,17,Illinois,011,Bureau County,965400,94.0,5.0,117.0,111,100.0,,2.0,45.0,38.0,95.0,3.0,,1.0,1.0,98.0,2.0,,2.0,IL Illinois Bureau County 965400,IL Illinois
Public Housing,2,17011965400,census tract,IL,17,Illinois,011,Bureau County,965400,94.0,5.0,103.0,97,100.0,,2.0,47.0,32.0,95.0,3.0,,1.0,1.0,100.0,,,2.0,IL Illinois Bureau County 965400,IL Illinois
Housing Choice Vouchers,3,17011965400,census tract,IL,17,Illinois,011,Bureau County,965400,96.0,0.0,14.0,14,100.0,,,31.0,79.0,100.0,,,,0.0,86.0,14.0,,,IL Illinois Bureau County 965400,IL Illinois
Summary,1,17011965500,census tract,IL,17,Illinois,011,Bureau County,965500,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Bureau County 965500,IL Illinois
Housing Choice Vouchers,3,17011965500,census tract,IL,17,Illinois,011,Bureau County,965500,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Bureau County 965500,IL Illinois
Summary,1,17011965600,census tract,IL,17,Illinois,011,Bureau County,965600,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Bureau County 965600,IL Illinois
Housing Choice Vouchers,3,17011965600,census tract,IL,17,Illinois,011,Bureau County,965600,,,1.0,1,,,,,,,,,,,,,,,IL Illinois Bureau County 965600,IL Illinois
Summary,1,17013951200,census tract,IL,17,Illinois,013,Calhoun County,951200,95.0,7.0,32.0,29,95.0,14.0,38.0,16.0,21.0,93.0,,3.0,,3.0,,62.0,38.0,52.0,IL Illinois Calhoun County 951200,IL Illinois
Public Housing,2,17013951200,census tract,IL,17,Illinois,013,Calhoun County,951200,95.0,7.0,32.0,29,95.0,14.0,38.0,16.0,21.0,93.0,,3.0,,3.0,,62.0,38.0,52.0,IL Illinois Calhoun County 951200,IL Illinois
Summary,1,17015960300,census tract,IL,17,Illinois,015,Carroll County,960300,97.0,9.0,90.0,87,100.0,1.0,15.0,33.0,54.0,91.0,3.0,,,6.0,74.0,11.0,15.0,16.0,IL Illinois Carroll County 960300,IL Illinois
Public Housing,2,17015960300,census tract,IL,17,Illinois,015,Carroll County,960300,97.0,9.0,90.0,87,100.0,1.0,15.0,33.0,54.0,91.0,3.0,,,6.0,74.0,11.0,15.0,16.0,IL Illinois Carroll County 960300,IL Illinois
Summary,1,17015960400,census tract,IL,17,Illinois,015,Carroll County,960400,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Carroll County 960400,IL Illinois
Other Multifamily,5,17015960400,census tract,IL,17,Illinois,015,Carroll County,960400,,,8.0,8,,,,,,,,,,,,,,,IL Illinois Carroll County 960400,IL Illinois
Summary,1,17017960200,census tract,IL,17,Illinois,017,Cass County,960200,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Cass County 960200,IL Illinois
Housing Choice Vouchers,3,17017960200,census tract,IL,17,Illinois,017,Cass County,960200,,,6.0,5,,,,,,,,,,,,,,,IL Illinois Cass County 960200,IL Illinois
Summary,1,17017960400,census tract,IL,17,Illinois,017,Cass County,960400,89.0,45.0,76.0,67,99.0,16.0,37.0,17.0,18.0,55.0,13.0,,3.0,28.0,34.0,31.0,34.0,53.0,IL Illinois Cass County 960400,IL Illinois
Public Housing,2,17017960400,census tract,IL,17,Illinois,017,Cass County,960400,88.0,61.0,50.0,44,100.0,25.0,57.0,3.0,7.0,39.0,20.0,,2.0,39.0,,48.0,52.0,82.0,IL Illinois Cass County 960400,IL Illinois
Other Multifamily,5,17017960400,census tract,IL,17,Illinois,017,Cass County,960400,91.0,13.0,26.0,23,97.0,,,100.0,39.0,87.0,,,4.0,9.0,100.0,,,,IL Illinois Cass County 960400,IL Illinois
Summary,1,17017960500,census tract,IL,17,Illinois,017,Cass County,960500,86.0,0.0,22.0,22,100.0,,,9.0,100.0,100.0,,,,0.0,100.0,,,,IL Illinois Cass County 960500,IL Illinois
Other Multifamily,5,17017960500,census tract,IL,17,Illinois,017,Cass County,960500,86.0,0.0,22.0,22,100.0,,,9.0,100.0,100.0,,,,0.0,100.0,,,,IL Illinois Cass County 960500,IL Illinois
Summary,1,17019000200,census tract,IL,17,Illinois,019,Champaign County,000200,81.0,95.0,119.0,104,100.0,1.0,63.0,12.0,21.0,5.0,92.0,1.0,,2.0,24.0,47.0,29.0,64.0,IL Illinois Champaign County 000200,IL Illinois
Housing Choice Vouchers,3,17019000200,census tract,IL,17,Illinois,019,Champaign County,000200,81.0,95.0,119.0,104,100.0,1.0,63.0,12.0,21.0,5.0,92.0,1.0,,2.0,24.0,47.0,29.0,64.0,IL Illinois Champaign County 000200,IL Illinois
Summary,1,17019000500,census tract,IL,17,Illinois,019,Champaign County,000500,81.0,50.0,14.0,12,100.0,,25.0,26.0,17.0,50.0,50.0,,,0.0,50.0,25.0,25.0,25.0,IL Illinois Champaign County 000500,IL Illinois
